oi,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,GB,SGBMAY29I,2.5%GOLDBONDS2029SR-I,14315.67,13989.7,13989.7,12920,13154.5,35711542.78,2698,N, ,878,18590,8200
N,GB,SGBMR29XII,2.50%GOLDBONDS2029SR-XII,14326.63,14000,14000,12894,12981.94,33949514.56,2572,N, ,574,18640,8000
N,GB,SGBN28VIII,2.5%GOLDBONDS2028SR-VIII,14318.34,14300,14300,12887,13142.66,12235750.21,926,N, ,252,19000,8251
N,GB,SGBNOV26,2.50%GOLDBONDS2026SR-III,14250,13892.75,14178.75,12831,12906.62,15664710.02,1187,N, ,172,18999,8401
N,GB,SGBNV29VII,2.5%GOLDBONDS2029SR-VII,14407.29,14000,14000,12966.57,13061.49,14950955.75,1127,N, ,356,18899,8310
N,GB,SGBOC28VII,2.50%GOLDBONDS2028SR-VII,14286.6,14200,14274,12922,13008.59,18151038.44,1384,N, ,244,18645,8305.01
N,GB,SGBOCT26,2.50%GOLDBONDS2026SR-II,14285,13611.1,13611.1,12856.5,12923.57,2560068.05,196,N, ,40,18251,8400
N,GB,SGBOCT27,2.50%GOLDBONDS2027SR-V,14240,13711.1,13711.1,12816,12897.97,6575531.81,508,N, ,95,18804.93,8500
N,GB,SGBOCT27VI,2.50%GOLDBONDS2027SR-VI,14279.41,13711.1,13711.1,12863,12979.22,6435897.91,497,N, ,60,18648.99,8400
N,GB,SGBSEP27,2.50%GOLDBONDS2027SR-IV,14245.33,14245.33,14245.33,12852,13004.7,6843070.25,526,N, ,60,18550,8311.08
N,GB,SGBSEP28VI,2.50%GOLDBONDS2028SR-VI,14249.51,13989.69,13989.69,12935,13129.2,28363383.14,2144,N, ,436,18600,8251
N,GB,SGBSEP29VI,2.5%GOLDBONDS2029SR-VI,14355.04,13989.7,14149,12919.54,13108.35,23244609.55,1758,N, ,485,18600,8325
N,GB,SGBSEP31II,2.50%GOLDBONDS2031SR-II,14832.06,14595,14598,13348.86,13475.62,103842772.9,7634,N, ,1833,19190,8225
N,GS,1018GS2026,GOI LOAN 10.18% 2026,102,102.3,102.3,101.2,102,493417.93,4867,N, ,15,113,100.9
N,GS,563GS2026,GOI LOAN  5.63% 2026,102.27,102.35,102.35,102.35,102.35,133055,1300,N, ,4,105.57,97.5
N,GS,574GS2026,GOI LOAN  5.74% 2026,102.79,102.79,102.79,101.3,101.3,96338.79,951,N, ,3,104,96.6
N,GS,585GS2030,GOI LOAN  5.85% 2030,98.6,98.31,98.31,98.2,98.2,196510,2000,N, ,2,100.99,95.48
N,GS,601GS2030,GOI LOAN  6.01% 2030,98.66,98.65,98.9,98,98,39555665,400200,N, ,10,101.85,97
N,GS,610GS2031,GOI LOAN  6.10% 2031,99,99.5,99.5,99.5,99.5,99.5,1,N, ,1,101.5,93.84
N,GS,633GS2035,GOI LOAN  6.33% 2035,99.45,99.45,100,99,100,719835.3,7200,N, ,7,104,97
N,GS,636GS2031,GOI LOAN  6.36% 2031,101,101,101,101,101,10100,100,N, ,2,101,96
N,GS,648GS2035,GOI LOAN  6.48% 2035,101.15,99.06,101.81,99.06,100.56,80589427.49,801704,N, ,32,104,98.4
